#RUN,Digest Matching, Service time Digest, Service time Normal, Service time Premium, Service time Reliable,Response time Digest, Response time Normal, Response time Premium, Response time Reliable, Wait time Digest, Wait time Normal, Wait time Premium, Wait time Reliable,Interarrival time Digest, Interarrival time Normal, Interarrival time Premium, Interarrival time Reliable, Avg num of jobs Digest, Avg num of jobs Normal, Avg num of jobs Premium, Avg num of jobs Reliable, Num of timeouts Normal, Num of timeouts Premium, Num of timeouts Reliable, Global Response Time, Global Premium Response Time, Global Normal Response Time, Percentage of Failure, Rho Digest, Rho Normal, Rho Premium, Rho Reliable
62,4928,0.602272,146.797906,119.020135,74.939513,2.018428,188.695077,162.834281,425.479352,1.416156,41.897171,43.814147,350.539839,0.861168,3.040406,1.289826,88.048177,2.343826,62.062468,126.245144,4.832347,527.000000,454.000000,0.000000,168.339321,159.787359,188.417271,0.000000,0.699366,0.965647,0.971327,0.851119
63,4745,0.598482,146.088678,117.723169,79.651110,1.923038,199.046375,136.746987,518.214288,1.324556,52.957698,19.023819,438.563178,0.868065,3.033134,1.303102,92.920152,2.215316,65.624001,104.939598,5.576985,472.000000,458.000000,0.000000,154.820469,135.550566,199.690352,0.000000,0.689444,0.963285,0.950955,0.857200
64,4915,0.599644,147.271027,119.660446,76.176368,1.957533,297.725717,147.085914,652.740956,1.357889,150.454690,27.425469,576.564588,0.861927,3.031305,1.292943,85.866982,2.271113,98.216996,113.760585,7.601769,551.000000,456.000000,0.000000,191.220564,146.082693,297.012026,0.000000,0.695702,0.971667,0.974199,0.887144
65,4876,0.599600,148.513616,119.304282,71.921962,1.928475,242.699052,138.078333,287.601750,1.328875,94.185436,18.774051,215.679789,0.869969,3.061995,1.304684,90.528372,2.216716,79.261745,105.832770,3.176924,528.000000,423.000000,0.000000,165.705274,135.026399,237.613666,0.000000,0.689219,0.970045,0.962558,0.794469
66,4834,0.600776,147.105947,119.468718,76.605438,1.986038,227.054017,157.681676,596.714123,1.385262,79.948070,38.212958,520.108685,0.863020,3.013876,1.296923,87.758693,2.301264,75.336215,121.581353,6.799487,535.000000,447.000000,0.000000,177.768130,155.802860,228.889269,0.000000,0.696132,0.976191,0.969653,0.872910
67,4785,0.598297,147.526740,119.022147,76.826462,1.936616,229.863633,146.829024,451.484186,1.338319,82.336893,27.806878,374.657723,0.862575,3.025179,1.292980,88.471702,2.245157,75.983471,113.558587,5.103148,512.000000,464.000000,0.000000,169.823385,144.841362,228.139995,0.000000,0.693618,0.975326,0.968974,0.868373
68,4844,0.598539,147.382667,118.842984,75.905364,1.910673,222.907148,137.960893,502.209536,1.312133,75.524482,19.117909,426.304172,0.866045,3.034483,1.300310,87.372483,2.206206,73.458038,106.098426,5.747914,556.000000,432.000000,0.000000,162.389610,136.231352,223.510700,0.000000,0.691118,0.971386,0.962062,0.868756
69,4870,0.597985,147.809275,119.392281,72.899288,1.901316,212.820081,139.434142,691.119586,1.303331,65.010806,20.041862,618.220298,0.867205,3.018924,1.306215,84.426364,2.192466,70.495331,106.746701,8.186064,525.000000,498.000000,0.000000,162.694840,139.345064,216.825881,0.000000,0.689555,0.979218,0.962139,0.863466
70,4750,0.597829,147.665094,119.074516,72.984092,1.925835,215.174113,135.655132,302.571909,1.328006,67.509019,16.580616,229.587818,0.862355,3.032394,1.290612,88.058165,2.233229,70.958495,105.109167,3.436046,536.000000,444.000000,0.000000,156.723334,133.186167,211.850931,0.000000,0.693252,0.973918,0.971180,0.828817
71,4897,0.599830,148.067877,119.188691,75.226013,1.954288,214.452602,144.477514,355.972267,1.354458,66.384725,25.288823,280.746254,0.866469,3.040914,1.301042,91.371487,2.255462,70.522426,111.047573,3.895879,533.000000,413.000000,0.000000,162.651297,141.525097,211.932582,0.000000,0.692270,0.973838,0.964318,0.823299
72,4836,0.597855,146.581785,119.717422,73.889349,1.901053,204.424114,141.484132,498.811326,1.303197,57.842330,21.766710,424.921977,0.867692,3.022988,1.305973,82.295264,2.190930,67.623205,108.336204,6.061240,548.000000,500.000000,0.000000,159.829319,140.090769,205.529960,0.000000,0.689018,0.969781,0.964938,0.897857
73,4724,0.597325,147.696242,118.876708,72.566544,1.923296,218.975297,136.802368,270.541585,1.325971,71.279055,17.925660,197.975041,0.866574,3.020369,1.301903,92.934263,2.219425,72.499529,105.078780,2.911107,516.000000,415.000000,0.000000,158.348173,133.794993,215.398570,0.000000,0.689295,0.978001,0.961158,0.780837
74,4905,0.600190,147.719502,119.610947,76.585130,2.011575,232.249560,139.343551,706.066556,1.411384,84.530058,19.732604,629.481426,0.865452,3.015079,1.303707,84.706216,2.324306,77.029351,106.882586,8.335475,549.000000,470.000000,0.000000,168.383155,139.267008,235.725659,0.000000,0.693499,0.979872,0.965756,0.904126
75,4805,0.598582,147.529081,119.705928,79.033191,1.945530,212.431914,149.912179,639.957704,1.346948,64.902832,30.206251,560.924513,0.862087,3.029181,1.291578,88.307668,2.256766,70.128502,116.069032,7.246910,510.000000,469.000000,0.000000,168.713448,148.870312,215.331522,0.000000,0.694340,0.974053,0.975599,0.894975
76,4978,0.600310,145.838350,120.129143,74.598894,1.978235,184.935171,148.518889,323.941888,1.377926,39.096821,28.389747,249.342994,0.863838,3.021476,1.300260,90.841520,2.290054,61.206904,114.222458,3.566011,511.000000,439.000000,0.000000,156.592894,145.149996,183.178043,0.000000,0.694933,0.965345,0.972511,0.821198
77,4971,0.600902,146.947680,118.679154,74.185703,1.933949,197.377335,130.832237,728.139649,1.333047,50.429655,12.153083,653.953946,0.866010,3.011214,1.307037,86.673912,2.233171,65.547431,100.098320,8.400909,536.000000,455.000000,0.000000,152.617554,131.010268,202.398675,0.000000,0.693874,0.976003,0.955791,0.855917
